Group Starts,Sum - Volume (Lynden/Aldergrove North Trucks),Sum - Volume (Lynden/Aldergrove South Trucks),Sum - Volume (Pacific Highway North Trucks),Sum - Volume (Pacific Highway South Trucks),Sum - Volume (Sumas/Huntingdon North Trucks)
2018-07-31 00:00:00,194.0,220.0,1217.0,1929.0,437.0
2018-08-01 00:00:00,200.0,213.0,1265.0,1911.0,399.0
2018-08-02 00:00:00,198.0,276.0,1308.0,1892.0,410.0
2018-08-03 00:00:00,179.0,315.0,1123.0,1861.0,411.0
2018-08-04 00:00:00,56.0,95.0,697.0,917.0,128.0
2018-08-05 00:00:00,56.0,100.0,469.0,969.0,74.0
2018-08-06 00:00:00,137.0,120.0,917.0,1433.0,305.0
2018-08-07 00:00:00,179.0,226.0,477.0,1863.0,427.0
2018-08-08 00:00:00,211.0,202.0,781.0,2020.0,445.0
2018-08-09 00:00:00,201.0,227.0,1267.0,1917.0,453.0
2018-08-10 00:00:00,181.0,233.0,1341.0,1921.0,428.0
2018-08-11 00:00:00,86.0,96.0,790.0,1223.0,116.0
2018-08-12 00:00:00,61.0,129.0,555.0,1256.0,76.0
2018-08-13 00:00:00,188.0,232.0,1178.0,1821.0,421.0
2018-08-14 00:00:00,196.0,203.0,1246.0,1836.0,469.0
2018-08-15 00:00:00,192.0,190.0,1339.0,1898.0,473.0
2018-08-16 00:00:00,199.0,237.0,1264.0,1836.0,444.0
2018-08-17 00:00:00,197.0,270.0,1330.0,2044.0,438.0
2018-08-18 00:00:00,62.0,93.0,747.0,1311.0,113.0
2018-08-19 00:00:00,61.0,139.0,507.0,1309.0,73.0
2018-08-20 00:00:00,183.0,206.0,1019.0,1926.0,422.0
2018-08-21 00:00:00,182.0,212.0,1150.0,1876.0,440.0
2018-08-22 00:00:00,196.0,209.0,1346.0,1848.0,476.0
2018-08-23 00:00:00,179.0,213.0,1324.0,1781.0,464.0
2018-08-24 00:00:00,185.0,243.0,1316.0,1884.0,459.0
2018-08-25 00:00:00,60.0,94.0,718.0,1247.0,120.0
2018-08-26 00:00:00,49.0,135.0,502.0,1212.0,55.0
2018-08-27 00:00:00,178.0,222.0,1071.0,1889.0,432.0
2018-08-28 00:00:00,161.0,184.0,1241.0,1932.0,483.0
2018-08-29 00:00:00,217.0,195.0,1314.0,2005.0,458.0
2018-08-30 00:00:00,197.0,257.0,1269.0,1993.0,458.0
2018-08-31 00:00:00,169.0,268.0,1299.0,1675.0,396.0
2018-09-01 00:00:00,66.0,87.0,716.0,1135.0,120.0
2018-09-02 00:00:00,40.0,59.0,484.0,1040.0,73.0
2018-09-03 00:00:00,48.0,67.0,482.0,1254.0,109.0
2018-09-04 00:00:00,187.0,198.0,1073.0,1906.0,404.0
2018-09-05 00:00:00,193.0,235.0,1278.0,1975.0,475.0
2018-09-06 00:00:00,199.0,200.0,1213.0,1834.0,428.0
2018-09-07 00:00:00,175.0,238.0,1291.0,1638.0,466.0
2018-09-08 00:00:00,63.0,67.0,790.0,1324.0,134.0
2018-09-09 00:00:00,32.0,70.0,505.0,1164.0,69.0
2018-09-10 00:00:00,170.0,171.0,1060.0,1787.0,399.0
2018-09-11 00:00:00,145.0,178.0,1175.0,1890.0,400.0
2018-09-12 00:00:00,181.0,198.0,1272.0,1864.0,474.0
2018-09-13 00:00:00,191.0,186.0,1239.0,1867.0,413.0
2018-09-14 00:00:00,190.0,222.0,1218.0,1820.0,399.0
2018-09-15 00:00:00,67.0,65.0,777.0,1308.0,134.0
2018-09-16 00:00:00,29.0,60.0,501.0,1153.0,81.0
2018-09-17 00:00:00,165.0,179.0,1113.0,1845.0,412.0
2018-09-18 00:00:00,185.0,176.0,1181.0,1911.0,395.0
2018-09-19 00:00:00,170.0,182.0,1291.0,1825.0,459.0
2018-09-20 00:00:00,214.0,196.0,1232.0,1816.0,439.0
2018-09-21 00:00:00,175.0,202.0,1130.0,1739.0,285.0
2018-09-22 00:00:00,60.0,77.0,719.0,1295.0,110.0
2018-09-23 00:00:00,28.0,52.0,475.0,1285.0,69.0
2018-09-24 00:00:00,178.0,189.0,1065.0,1759.0,375.0
2018-09-25 00:00:00,191.0,189.0,1091.0,1870.0,410.0
2018-09-26 00:00:00,218.0,239.0,1194.0,1846.0,408.0
2018-09-27 00:00:00,201.0,188.0,1398.0,1771.0,446.0
2018-09-28 00:00:00,201.0,241.0,1267.0,1686.0,388.0
2018-09-29 00:00:00,78.0,104.0,749.0,1288.0,120.0
2018-09-30 00:00:00,54.0,130.0,586.0,1267.0,74.0
2018-10-01 00:00:00,180.0,195.0,970.0,1652.0,370.0
2018-10-02 00:00:00,189.0,185.0,1140.0,1832.0,400.0
2018-10-03 00:00:00,237.0,215.0,1278.0,1976.0,409.0
2018-10-04 00:00:00,213.0,253.0,1244.0,1832.0,404.0
2018-10-05 00:00:00,184.0,35.0,1259.0,1646.0,374.0
2018-10-06 00:00:00,85.0,,649.0,1363.0,126.0
2018-10-07 00:00:00,61.0,,426.0,1074.0,65.0
2018-10-08 00:00:00,120.0,,758.0,1310.0,193.0
2018-10-09 00:00:00,222.0,,1113.0,1805.0,420.0
2018-10-10 00:00:00,234.0,203.0,1248.0,1929.0,455.0
2018-10-11 00:00:00,211.0,204.0,1245.0,1870.0,401.0
2018-10-12 00:00:00,229.0,258.0,1277.0,1713.0,425.0
2018-10-13 00:00:00,96.0,130.0,729.0,1300.0,140.0
2018-10-14 00:00:00,55.0,118.0,505.0,1230.0,86.0
2018-10-15 00:00:00,212.0,227.0,1067.0,1807.0,394.0
2018-10-16 00:00:00,198.0,199.0,1173.0,1881.0,429.0
2018-10-17 00:00:00,212.0,229.0,1255.0,1880.0,421.0
2018-10-18 00:00:00,48.0,246.0,1213.0,1837.0,439.0
2018-10-19 00:00:00,,230.0,1237.0,1877.0,401.0
2018-10-20 00:00:00,,124.0,726.0,1258.0,120.0
2018-10-21 00:00:00,,103.0,496.0,1180.0,76.0
2018-10-22 00:00:00,,179.0,1033.0,1786.0,374.0
2018-10-23 00:00:00,,238.0,1130.0,1896.0,420.0
2018-10-24 00:00:00,,217.0,116.0,1842.0,6.0
2018-10-25 00:00:00,,207.0,,1724.0,
2018-10-26 00:00:00,,225.0,,1772.0,
2018-10-27 00:00:00,,121.0,,1217.0,
2018-10-28 00:00:00,,94.0,,1185.0,
2018-10-29 00:00:00,,213.0,688.0,1693.0,254.0
2018-10-30 00:00:00,,249.0,1218.0,1877.0,399.0
2018-10-31 00:00:00,,199.0,513.0,1803.0,148.0
2018-11-01 00:00:00,4.0,207.0,691.0,1668.0,239.0
2018-11-02 00:00:00,155.0,225.0,1142.0,1734.0,388.0
2018-11-03 00:00:00,53.0,94.0,703.0,1147.0,109.0
2018-11-04 00:00:00,45.0,108.0,501.0,1247.0,68.0
2018-11-05 00:00:00,188.0,212.0,1059.0,1697.0,338.0
2018-11-06 00:00:00,223.0,203.0,1038.0,1808.0,455.0
2018-11-07 00:00:00,199.0,175.0,1316.0,1830.0,422.0
2018-11-08 00:00:00,181.0,194.0,1229.0,1778.0,403.0
2018-11-09 00:00:00,189.0,212.0,1231.0,1741.0,396.0
2018-11-10 00:00:00,76.0,68.0,653.0,1467.0,114.0
2018-11-11 00:00:00,17.0,40.0,427.0,1183.0,75.0
2018-11-12 00:00:00,126.0,91.0,786.0,1344.0,202.0
2018-11-13 00:00:00,163.0,187.0,1064.0,1773.0,399.0
2018-11-14 00:00:00,177.0,167.0,1242.0,1683.0,400.0
2018-11-15 00:00:00,173.0,171.0,1122.0,1824.0,416.0
2018-11-16 00:00:00,179.0,46.0,1277.0,1735.0,406.0
2018-11-17 00:00:00,51.0,,746.0,1252.0,111.0
2018-11-18 00:00:00,26.0,,496.0,1121.0,69.0
2018-11-19 00:00:00,164.0,,1037.0,1796.0,354.0
2018-11-20 00:00:00,168.0,,1159.0,1790.0,449.0
2018-11-21 00:00:00,203.0,,1327.0,1802.0,438.0
2018-11-22 00:00:00,63.0,,837.0,1178.0,160.0
2018-11-23 00:00:00,76.0,,792.0,1365.0,270.0
2018-11-24 00:00:00,33.0,,424.0,1285.0,79.0
2018-11-25 00:00:00,21.0,,384.0,1139.0,54.0
2018-11-26 00:00:00,170.0,,1041.0,844.0,394.0
2018-11-27 00:00:00,167.0,,1127.0,,408.0
2018-11-28 00:00:00,150.0,,1274.0,617.0,446.0
2018-11-29 00:00:00,191.0,108.0,1171.0,1681.0,421.0
2018-11-30 00:00:00,171.0,160.0,1159.0,1737.0,393.0
2018-12-01 00:00:00,46.0,60.0,666.0,1230.0,117.0
2018-12-02 00:00:00,24.0,54.0,486.0,1170.0,66.0
2018-12-03 00:00:00,155.0,149.0,1018.0,1838.0,344.0
2018-12-04 00:00:00,147.0,37.0,1077.0,720.0,399.0
2018-12-05 00:00:00,177.0,163.0,1242.0,1762.0,414.0
2018-12-06 00:00:00,168.0,149.0,1285.0,1763.0,426.0
2018-12-07 00:00:00,171.0,160.0,1213.0,1737.0,398.0
2018-12-08 00:00:00,48.0,57.0,655.0,1218.0,93.0
2018-12-09 00:00:00,21.0,40.0,517.0,1095.0,57.0
2018-12-10 00:00:00,147.0,156.0,1040.0,1785.0,362.0
2018-12-11 00:00:00,167.0,192.0,1151.0,1852.0,389.0
2018-12-12 00:00:00,165.0,162.0,1283.0,1875.0,397.0
2018-12-13 00:00:00,172.0,147.0,1200.0,1845.0,412.0
2018-12-14 00:00:00,176.0,137.0,1254.0,1791.0,377.0
2018-12-15 00:00:00,44.0,52.0,696.0,1255.0,116.0
2018-12-16 00:00:00,19.0,40.0,473.0,1038.0,78.0
2018-12-17 00:00:00,155.0,164.0,1084.0,1791.0,358.0
2018-12-18 00:00:00,167.0,156.0,1121.0,1836.0,399.0
2018-12-19 00:00:00,184.0,2.0,1248.0,9.0,399.0
2018-12-20 00:00:00,192.0,,1172.0,59.0,220.0
2018-12-21 00:00:00,165.0,55.0,1211.0,739.0,360.0
2018-12-22 00:00:00,44.0,38.0,654.0,1147.0,99.0
2018-12-23 00:00:00,15.0,24.0,470.0,1008.0,46.0
2018-12-24 00:00:00,27.0,43.0,469.0,1044.0,126.0
2018-12-25 00:00:00,9.0,20.0,122.0,587.0,31.0
2018-12-26 00:00:00,73.0,94.0,479.0,1123.0,123.0
2018-12-27 00:00:00,129.0,155.0,894.0,1628.0,294.0
2018-12-28 00:00:00,143.0,145.0,939.0,1546.0,301.0
2018-12-29 00:00:00,31.0,55.0,578.0,1027.0,93.0
2018-12-30 00:00:00,21.0,33.0,394.0,903.0,43.0
2018-12-31 00:00:00,60.0,88.0,660.0,1216.0,233.0
2019-01-01 00:00:00,18.0,27.0,234.0,929.0,42.0
2019-01-02 00:00:00,118.0,145.0,856.0,1656.0,300.0
2019-01-03 00:00:00,151.0,135.0,986.0,1591.0,348.0
2019-01-04 00:00:00,141.0,143.0,1056.0,1630.0,343.0
2019-01-05 00:00:00,54.0,48.0,601.0,1078.0,91.0
2019-01-06 00:00:00,23.0,42.0,455.0,1071.0,60.0
2019-01-07 00:00:00,147.0,153.0,1049.0,1615.0,330.0
2019-01-08 00:00:00,153.0,148.0,1120.0,1626.0,391.0
2019-01-09 00:00:00,153.0,142.0,1150.0,1801.0,373.0
2019-01-10 00:00:00,172.0,172.0,1269.0,1532.0,364.0
2019-01-11 00:00:00,144.0,151.0,1301.0,1657.0,373.0
2019-01-12 00:00:00,35.0,50.0,678.0,1241.0,112.0
